id,FacultyName,Type,ProgramName,ProgramUrl
1,Faculty of Management,Undergraduate,BSc in Business Management (Human Resource Management),http://horizoncampus.edu.lk/faculty-of-management/#eluidc2943219
2,Faculty of Management,Undergraduate,Bachelor of Management (Hons) in Marketing,http://horizoncampus.edu.lk/faculty-of-management/#eluid2b9b5248
3,Faculty of Information Technology,Undergraduate,Bsc (Hons) in Information Technology,http://horizoncampus.edu.lk/faculty-of-information-technology/#eluid800fa810
4,Faculty of Information Technology,Undergraduate,BIT in Network & Mobile Computing,http://horizoncampus.edu.lk/faculty-of-information-technology/#eluid4a510bcf
5,Faculty of Information Technology,Undergraduate,BIT -  University of Moratuwa,http://horizoncampus.edu.lk/faculty-of-information-technology/#eluidb228cb9e
6,Faculty of Science,Undergraduate,BSc in Biotechnology (Nilai),http://horizoncampus.edu.lk/faculty-of-science/#eluid45db2748
7,Faculty of Science,Undergraduate,BSc in Biotechnology (Astate),http://horizoncampus.edu.lk/faculty-of-science/#eluid90b71d55
8,Faculty of Science,Undergraduate,Diploma in Biotechnology (Nilai),http://horizoncampus.edu.lk/faculty-of-science/#eluid94817ec9
9,Faculty of Education,Undergraduate,Bachelor of Education (BEd) Programme,http://horizoncampus.edu.lk/faculty-of-education/#eluid9c21dba0
10,Faculty of International Programs,Undergraduate,Bachelor of LAW (LLB) ,http://horizoncampus.edu.lk/faculty-of-international-programs/#eluidb249f55c
11,Faculty of International Programs,Undergraduate,Certificate of Higher Education in Common Law,http://horizoncampus.edu.lk/faculty-of-international-programs/#eluid44f4bd6b
12,Faculty of International Programs,Undergraduate,BSc. Accounting and Finance,http://horizoncampus.edu.lk/faculty-of-international-programs/#eluide836169c
13,Faculty of International Programs,Undergraduate,BSc. Banking and Finance,http://horizoncampus.edu.lk/faculty-of-international-programs/#eluid183dae5b
14,Faculty of International Programs,Undergraduate,BSc. Business & Management,http://horizoncampus.edu.lk/faculty-of-international-programs/#eluidf240b272
15,Faculty of Science,Diploma,Diploma in Biotechnology – (Nilai),http://horizoncampus.edu.lk/diploma-in-biotechnology-nilai/
16,Faculty of Science,Diploma,Certificate of Higher Education in Common Law,http://horizoncampus.edu.lk/certificate-of-higher-education-in-common-law/
17,Faculty of Science,Diploma,Diploma in Pre School Education,http://horizoncampus.edu.lk/diploma-in-pre-school-education/
18,Faculty of Education,Certificate,Diploma in Biotechnology – (Nilai),http://horizoncampus.edu.lk/diploma-in-biotechnology-nilai/
19,Faculty of Education,Certificate,Certificate of Higher Education in Common Law,http://horizoncampus.edu.lk/certificate-of-higher-education-in-common-law/
20,Faculty of Education,Certificate,Diploma in Pre School Education,http://horizoncampus.edu.lk/diploma-in-pre-school-education/
21,Faculty of Education,Diploma,Diploma in Biotechnology – (Nilai),http://horizoncampus.edu.lk/diploma-in-biotechnology-nilai/
22,Faculty of Education,Diploma,Certificate of Higher Education in Common Law,http://horizoncampus.edu.lk/certificate-of-higher-education-in-common-law/
23,Faculty of Education,Diploma,Diploma in Pre School Education,http://horizoncampus.edu.lk/diploma-in-pre-school-education/
24,Faculty of Information Technology,Undergraduate,GOVERNMENT INTEREST FREE LOAN SCHEME,http://horizoncampus.edu.lk/ifsls/
25,Faculty of Information Technology,Undergraduate,BSc (Hons) in Information Technology,http://horizoncampus.edu.lk/bsc-hons-in-information-technology-2/
26,Faculty of Information Technology,Undergraduate,BIT (Hons) in Networking & Mobile Computing,http://horizoncampus.edu.lk/bit-in-network-mobile-computing/
27,Faculty of Information Technology,Undergraduate,Bachelor of Management (Hons) in Marketing,http://horizoncampus.edu.lk/bachelor-of-management-hons-in-marketing/
28,Faculty of Information Technology,Undergraduate,BSc in Business Management (HRM),http://horizoncampus.edu.lk/bsc-in-business-management-human-resources-management/
29,Faculty of Information Technology,Undergraduate,Bachelor of Education (Hons),http://horizoncampus.edu.lk/bachelor-of-education-hons/
30,Faculty of Information Technology,Undergraduate,Bachelor of Education in English (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-english-hons/
31,Faculty of Information Technology,Undergraduate,Bachelor of Education in Physical Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-physical-science-hons/
32,Faculty of Information Technology,Undergraduate,Bachelor of Education in Biological Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-biological-science-hons/
33,Faculty of Information Technology,Undergraduate,GOVERNMENT INTEREST FREE LOAN SCHEME,http://horizoncampus.edu.lk/ifsls/
34,Faculty of Information Technology,Undergraduate,BSc (Hons) in Information Technology,http://horizoncampus.edu.lk/bsc-hons-in-information-technology-2/
35,Faculty of Information Technology,Undergraduate,BIT (Hons) in Networking & Mobile Computing,http://horizoncampus.edu.lk/bit-in-network-mobile-computing/
36,Faculty of Information Technology,Undergraduate,Bachelor of Management (Hons) in Marketing,http://horizoncampus.edu.lk/bachelor-of-management-hons-in-marketing/
37,Faculty of Information Technology,Undergraduate,BSc in Business Management (HRM),http://horizoncampus.edu.lk/bsc-in-business-management-human-resources-management/
38,Faculty of Information Technology,Undergraduate,Bachelor of Education (Hons),http://horizoncampus.edu.lk/bachelor-of-education-hons/
39,Faculty of Information Technology,Undergraduate,Bachelor of Education in English (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-english-hons/
40,Faculty of Information Technology,Undergraduate,Bachelor of Education in Physical Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-physical-science-hons/
41,Faculty of Information Technology,Undergraduate,Bachelor of Education in Biological Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-biological-science-hons/
42,Faculty of Management,Undergraduate,GOVERNMENT INTEREST FREE LOAN SCHEME,http://horizoncampus.edu.lk/ifsls/
43,Faculty of Management,Undergraduate,BSc (Hons) in Information Technology,http://horizoncampus.edu.lk/bsc-hons-in-information-technology-2/
44,Faculty of Management,Undergraduate,BIT (Hons) in Networking & Mobile Computing,http://horizoncampus.edu.lk/bit-in-network-mobile-computing/
45,Faculty of Management,Undergraduate,Bachelor of Management (Hons) in Marketing,http://horizoncampus.edu.lk/bachelor-of-management-hons-in-marketing/
46,Faculty of Management,Undergraduate,BSc in Business Management (HRM),http://horizoncampus.edu.lk/bsc-in-business-management-human-resources-management/
47,Faculty of Management,Undergraduate,Bachelor of Education (Hons),http://horizoncampus.edu.lk/bachelor-of-education-hons/
48,Faculty of Management,Undergraduate,Bachelor of Education in English (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-english-hons/
49,Faculty of Management,Undergraduate,Bachelor of Education in Physical Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-physical-science-hons/
50,Faculty of Management,Undergraduate,Bachelor of Education in Biological Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-biological-science-hons/
51,Faculty of Management,Undergraduate,GOVERNMENT INTEREST FREE LOAN SCHEME,http://horizoncampus.edu.lk/ifsls/
52,Faculty of Management,Undergraduate,BSc (Hons) in Information Technology,http://horizoncampus.edu.lk/bsc-hons-in-information-technology-2/
53,Faculty of Management,Undergraduate,BIT (Hons) in Networking & Mobile Computing,http://horizoncampus.edu.lk/bit-in-network-mobile-computing/
54,Faculty of Management,Undergraduate,Bachelor of Management (Hons) in Marketing,http://horizoncampus.edu.lk/bachelor-of-management-hons-in-marketing/
55,Faculty of Management,Undergraduate,BSc in Business Management (HRM),http://horizoncampus.edu.lk/bsc-in-business-management-human-resources-management/
56,Faculty of Management,Undergraduate,Bachelor of Education (Hons),http://horizoncampus.edu.lk/bachelor-of-education-hons/
57,Faculty of Management,Undergraduate,Bachelor of Education in English (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-english-hons/
58,Faculty of Management,Undergraduate,Bachelor of Education in Physical Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-physical-science-hons/
59,Faculty of Management,Undergraduate,Bachelor of Education in Biological Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-biological-science-hons/
60,Faculty of Education,Undergraduate,GOVERNMENT INTEREST FREE LOAN SCHEME,http://horizoncampus.edu.lk/ifsls/
61,Faculty of Education,Undergraduate,BSc (Hons) in Information Technology,http://horizoncampus.edu.lk/bsc-hons-in-information-technology-2/
62,Faculty of Education,Undergraduate,BIT (Hons) in Networking & Mobile Computing,http://horizoncampus.edu.lk/bit-in-network-mobile-computing/
63,Faculty of Education,Undergraduate,Bachelor of Management (Hons) in Marketing,http://horizoncampus.edu.lk/bachelor-of-management-hons-in-marketing/
64,Faculty of Education,Undergraduate,BSc in Business Management (HRM),http://horizoncampus.edu.lk/bsc-in-business-management-human-resources-management/
65,Faculty of Education,Undergraduate,Bachelor of Education (Hons),http://horizoncampus.edu.lk/bachelor-of-education-hons/
66,Faculty of Education,Undergraduate,Bachelor of Education in English (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-english-hons/
67,Faculty of Education,Undergraduate,Bachelor of Education in Physical Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-physical-science-hons/
68,Faculty of Education,Undergraduate,Bachelor of Education in Biological Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-biological-science-hons/
69,Faculty of Education,Undergraduate,GOVERNMENT INTEREST FREE LOAN SCHEME,http://horizoncampus.edu.lk/ifsls/
70,Faculty of Education,Undergraduate,BSc (Hons) in Information Technology,http://horizoncampus.edu.lk/bsc-hons-in-information-technology-2/
71,Faculty of Education,Undergraduate,BIT (Hons) in Networking & Mobile Computing,http://horizoncampus.edu.lk/bit-in-network-mobile-computing/
72,Faculty of Education,Undergraduate,Bachelor of Management (Hons) in Marketing,http://horizoncampus.edu.lk/bachelor-of-management-hons-in-marketing/
73,Faculty of Education,Undergraduate,BSc in Business Management (HRM),http://horizoncampus.edu.lk/bsc-in-business-management-human-resources-management/
74,Faculty of Education,Undergraduate,Bachelor of Education (Hons),http://horizoncampus.edu.lk/bachelor-of-education-hons/
75,Faculty of Education,Undergraduate,Bachelor of Education in English (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-english-hons/
76,Faculty of Education,Undergraduate,Bachelor of Education in Physical Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-physical-science-hons/
77,Faculty of Education,Undergraduate,Bachelor of Education in Biological Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-biological-science-hons/
78,Faculty of Education,Undergraduate,GOVERNMENT INTEREST FREE LOAN SCHEME,http://horizoncampus.edu.lk/ifsls/
79,Faculty of Education,Undergraduate,BSc (Hons) in Information Technology,http://horizoncampus.edu.lk/bsc-hons-in-information-technology-2/
80,Faculty of Education,Undergraduate,BIT (Hons) in Networking & Mobile Computing,http://horizoncampus.edu.lk/bit-in-network-mobile-computing/
81,Faculty of Education,Undergraduate,Bachelor of Management (Hons) in Marketing,http://horizoncampus.edu.lk/bachelor-of-management-hons-in-marketing/
82,Faculty of Education,Undergraduate,BSc in Business Management (HRM),http://horizoncampus.edu.lk/bsc-in-business-management-human-resources-management/
83,Faculty of Education,Undergraduate,Bachelor of Education (Hons),http://horizoncampus.edu.lk/bachelor-of-education-hons/
84,Faculty of Education,Undergraduate,Bachelor of Education in English (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-english-hons/
85,Faculty of Education,Undergraduate,Bachelor of Education in Physical Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-physical-science-hons/
86,Faculty of Education,Undergraduate,Bachelor of Education in Biological Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-biological-science-hons/
87,Faculty of Science,Undergraduate,GOVERNMENT INTEREST FREE LOAN SCHEME,http://horizoncampus.edu.lk/ifsls/
88,Faculty of Science,Undergraduate,BSc (Hons) in Information Technology,http://horizoncampus.edu.lk/bsc-hons-in-information-technology-2/
89,Faculty of Science,Undergraduate,BIT (Hons) in Networking & Mobile Computing,http://horizoncampus.edu.lk/bit-in-network-mobile-computing/
90,Faculty of Science,Undergraduate,Bachelor of Management (Hons) in Marketing,http://horizoncampus.edu.lk/bachelor-of-management-hons-in-marketing/
91,Faculty of Science,Undergraduate,BSc in Business Management (HRM),http://horizoncampus.edu.lk/bsc-in-business-management-human-resources-management/
92,Faculty of Science,Undergraduate,Bachelor of Education (Hons),http://horizoncampus.edu.lk/bachelor-of-education-hons/
93,Faculty of Science,Undergraduate,Bachelor of Education in English (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-english-hons/
94,Faculty of Science,Undergraduate,Bachelor of Education in Physical Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-physical-science-hons/
95,Faculty of Science,Undergraduate,Bachelor of Education in Biological Science (Hons),http://horizoncampus.edu.lk/bachelor-of-education-in-biological-science-hons/
96,Faculty of Management,Postgraduate,['POSTGRADUATE PROGRAMS',http://horizoncampus.edu.lk/bachelor-of-education-in-biological-science-hons/
97,Faculty of Science,Postgraduate,['POSTGRADUATE PROGRAMS',http://horizoncampus.edu.lk/bachelor-of-education-in-biological-science-hons/
